dialogue_id,gold_binary,gold_multi,intensity,D1_score,D2_score,D3_score,D4_score,D5_score,D6_score,D7_score,D1_level,D2_level,D3_level,D4_level,D5_level,D6_level,D7_level,llm_agg_agency,llm_argmax_dim,llm_presence
86,0,2,4,0.90,0.70,0.80,0.80,0.20,0.10,0.90,3,2,3,3,1,0,3,4.50,D1,1
106,1,5,5,0.90,0.80,0.80,0.90,0.30,0.80,0.90,3,3,3,3,1,3,3,4.50,D1,1
108,1,4,3,0.80,0.60,0.50,0.40,0.20,0.30,0.70,3,2,2,2,1,1,3,4.00,D1,1
109,1,4,3,0.60,0.40,0.50,0.60,0.20,0.80,0.90,2,2,2,2,1,3,3,4.50,D7,1
119,1,5,5,0.90,0.80,0.80,0.70,0.20,0.90,0.90,3,3,3,3,1,3,3,4.50,D1,1
131,0,2,4,0.80,0.60,0.90,0.70,0.20,0.10,0.90,3,2,3,3,1,0,3,4.50,D3,1
136,0,0,0,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0,0,0,0,0,0,0,0.50,D1,0
144,1,4,5,0.90,0.80,0.70,0.80,0.30,0.90,0.90,3,3,3,3,1,3,3,4.50,D1,1
157,1,3,4,0.80,0.60,0.90,0.80,0.20,0.00,0.90,3,2,3,3,1,0,3,4.50,D3,1
159,0,2,4,0.80,0.70,0.90,0.80,0.20,0.10,0.60,3,3,3,3,1,0,2,4.50,D3,1
181,1,5,4,0.90,0.80,0.70,0.80,0.20,0.60,0.90,3,3,3,3,1,2,3,4.50,D1,1
188,0,2,1,0.20,0.10,0.40,0.30,0.00,0.00,0.60,1,0,2,1,0,0,2,3.00,D7,1
204,0,2,3,0.60,0.40,0.70,0.80,0.20,0.10,0.80,2,2,3,3,1,0,3,4.00,D4,1
206,1,4,2,0.20,0.10,0.60,0.50,0.30,0.20,0.80,1,0,2,2,1,1,3,4.00,D7,1
217,1,4,2,0.60,0.30,0.50,0.40,0.10,0.00,0.70,2,1,2,1,0,0,2,3.50,D7,1
219,0,0,0,0.20,0.10,0.00,0.00,0.00,0.00,0.30,1,0,0,0,0,0,1,1.50,D7,0
231,1,5,4,0.90,0.60,0.80,0.70,0.30,0.60,0.90,3,2,3,3,1,2,3,4.50,D1,1
236,0,0,2,0.40,0.10,0.20,0.30,0.00,0.00,0.60,2,1,1,2,0,0,2,3.00,D7,1
242,1,5,3,0.70,0.60,0.80,0.50,0.20,0.00,0.90,3,2,3,2,1,0,3,4.50,D7,1
245,1,5,2,0.60,0.30,0.70,0.40,0.10,0.00,0.80,2,1,3,2,1,0,3,4.00,D7,1
246,1,5,3,0.70,0.40,0.80,0.60,0.10,0.00,0.90,3,2,3,2,1,0,3,4.50,D7,1
247,0,0,1,0.20,0.10,0.10,0.20,0.00,0.00,0.30,1,0,0,1,0,0,1,1.50,D7,0
249,1,4,4.5,0.90,0.80,0.20,0.70,0.30,0.90,0.90,3,3,1,3,1,3,3,4.50,D1,1
253,0,2,4,0.80,0.60,0.90,0.70,0.20,0.10,0.90,3,2,3,3,1,0,3,4.50,D3,1
259,0,0,1,0.20,0.10,0.30,0.40,0.00,0.10,0.60,1,0,1,2,0,0,2,3.00,D7,1
260,0,2,4,0.80,0.60,0.70,0.80,0.20,0.10,0.90,3,2,3,3,1,0,3,4.50,D7,1
261,1,5,3,0.60,0.40,0.80,0.50,0.20,0.00,0.70,2,2,3,2,1,0,3,4.00,D3,1
269,1,5,2,0.60,0.20,0.80,0.30,0.10,0.00,0.70,2,1,3,1,0,0,2,4.00,D3,1
272,1,3,3,0.80,0.60,0.70,0.50,0.20,0.10,0.90,3,2,3,2,1,0,3,4.50,D7,1
280,0,0,0,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0,0,0,0,0,0,0,0.50,D1,0
282,1,3,3,0.80,0.60,0.70,0.80,0.20,0.10,0.90,3,2,3,3,1,0,3,4.50,D7,1
288,1,4,4,0.90,0.60,0.20,0.50,0.10,0.90,0.90,3,2,1,2,0,3,3,4.50,D1,1
290,1,5,4,0.90,0.70,0.80,0.60,0.20,0.30,0.90,3,3,3,2,1,1,3,4.50,D1,1
298,1,3,3,0.60,0.40,0.70,0.80,0.20,0.10,0.80,2,2,3,3,1,1,3,4.00,D4,1
312,1,5,4.5,0.90,0.80,0.90,0.90,0.20,0.70,0.90,3,3,3,3,1,3,3,4.50,D1,1
313,1,4,5,1.00,0.90,0.20,0.60,0.10,0.90,1.00,3,3,1,2,0,3,3,5.00,D1,1
316,1,3,3,0.60,0.40,0.80,0.70,0.20,0.10,0.70,2,2,3,3,1,1,3,4.00,D3,1
328,1,5,4.5,0.90,0.80,0.90,0.80,0.20,0.70,0.90,3,3,3,3,1,3,3,4.50,D1,1
351,0,1,2,0.40,0.20,0.60,0.30,0.00,0.00,0.70,2,1,2,1,0,0,3,3.50,D7,1
354,1,4,2,0.20,0.10,0.10,0.40,0.00,0.90,0.80,1,0,0,2,0,3,3,4.50,D6,1
361,0,2,4,0.80,0.70,0.80,0.70,0.20,0.10,0.90,3,3,3,3,1,0,3,4.50,D7,1
365,1,4,4,0.80,0.60,0.20,0.50,0.10,0.90,0.90,3,2,1,2,0,3,3,4.50,D6,1
366,0,0,1,0.20,0.10,0.00,0.10,0.30,0.00,0.40,1,0,0,0,1,0,2,2.00,D7,0
369,0,0,1,0.20,0.10,0.10,0.30,0.00,0.00,0.40,1,0,0,1,0,0,2,2.00,D7,0
383,1,3,3,0.80,0.60,0.70,0.60,0.20,0.10,0.90,3,2,3,2,1,0,3,4.50,D7,1
388,0,2,4,0.80,0.60,0.70,0.80,0.20,0.10,0.90,3,2,3,3,1,0,3,4.50,D7,1
389,1,5,4,0.80,0.50,0.90,0.70,0.10,0.00,0.90,3,2,3,3,1,0,3,4.50,D3,1
390,0,0,1,0.20,0.10,0.30,0.20,0.00,0.00,0.60,1,0,1,1,0,0,2,3.00,D7,1
392,0,1,2,0.40,0.20,0.30,0.60,0.10,0.00,0.80,2,1,1,2,1,0,3,4.00,D7,1
396,0,0,0,0.20,0.00,0.00,0.00,0.00,0.00,0.80,1,0,0,0,0,0,3,4.00,D7,1
398,0,1,2,0.60,0.20,0.30,0.50,0.10,0.00,0.70,2,1,1,2,0,0,3,3.50,D7,1
402,0,0,0,0.10,0.00,0.00,0.00,0.00,0.00,0.20,0,0,0,0,0,0,1,1.00,D7,0
408,1,4,5,1.00,1.00,0.00,0.20,0.00,0.80,1.00,3,3,0,1,0,3,3,5.00,D1,1
409,1,5,5,0.90,0.80,0.70,0.80,0.20,0.90,0.90,3,3,3,3,1,3,3,4.50,D1,1
418,1,5,3,0.60,0.40,0.80,0.70,0.20,0.30,0.70,2,2,3,3,1,1,3,4.00,D3,1
423,0,0,0,0.10,0.00,0.00,0.00,0.00,0.00,0.20,0,0,0,0,0,0,1,1.00,D7,0
427,0,0,2,0.40,0.20,0.30,0.50,0.10,0.00,0.60,2,1,1,2,1,0,2,3.00,D7,1
431,0,0,4,0.80,0.60,0.20,0.50,0.10,0.90,0.90,3,2,1,2,0,3,3,4.50,D6,1
437,1,5,4.5,0.90,0.80,0.90,0.90,0.30,0.60,0.90,3,3,3,3,1,2,3,4.50,D1,1
449,0,1,1,0.40,0.10,0.30,0.20,0.00,0.00,0.60,2,1,2,1,0,0,2,3.00,D7,1
453,0,0,0,0.10,0.00,0.10,0.00,0.00,0.00,0.20,0,0,0,0,0,0,1,1.00,D7,0
463,0,0,2,0.10,0.00,0.00,0.20,0.30,0.90,0.90,1,0,0,1,1,3,3,4.50,D6,1
468,0,2,3,0.70,0.40,0.60,0.50,0.20,0.00,0.80,3,2,2,2,1,0,3,4.00,D7,1
471,0,1,2,0.40,0.20,0.30,0.20,0.00,0.00,0.60,2,1,1,1,0,0,2,3.00,D7,1
472,0,0,0,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0,0,0,0,0,0,0,0.50,D1,0
475,1,4,2,0.60,0.30,0.70,0.40,0.10,0.00,0.80,2,1,3,2,1,0,3,4.00,D7,1
488,1,4,4,0.80,0.60,0.20,0.50,0.10,0.90,0.90,3,2,1,2,0,3,3,4.50,D6,1
497,1,5,4,0.90,0.80,0.90,0.60,0.20,0.10,0.90,3,3,3,2,1,0,3,4.50,D1,1
502,1,5,4,0.60,0.40,0.50,0.70,0.20,0.90,0.80,2,2,2,3,1,3,3,4.50,D6,1
504,1,4,3,0.40,0.20,0.30,0.50,0.10,0.60,0.80,2,1,1,2,0,3,3,4.00,D7,1
507,1,4,2,0.20,0.10,0.40,0.50,0.30,0.20,0.60,1,0,2,2,1,1,2,3.00,D7,1
512,0,0,0,0.10,0.00,0.10,0.20,0.00,0.00,0.20,0,0,0,1,0,0,1,1.00,D4,0
517,0,2,3,0.60,0.40,0.50,0.70,0.10,0.00,0.80,2,2,2,3,1,0,3,4.00,D7,1
519,0,1,2,0.40,0.20,0.30,0.30,0.20,0.00,0.60,2,1,1,1,1,0,2,3.00,D7,1
526,1,5,4.5,0.90,0.80,0.70,0.60,0.20,0.90,0.90,3,3,3,2,1,3,3,4.50,D1,1
530,1,3,3,0.80,0.50,0.70,0.60,0.20,0.10,0.90,3,2,3,2,1,0,3,4.50,D7,1
533,1,5,4.5,0.90,0.80,0.90,0.80,0.30,0.90,0.90,3,3,3,3,1,3,3,4.50,D1,1
537,0,0,0,0.10,0.00,0.00,0.00,0.00,0.00,0.20,0,0,0,0,0,0,1,1.00,D7,0
542,0,0,4,0.90,0.80,0.20,0.50,0.10,0.90,1.00,3,3,1,2,0,3,3,5.00,D7,1
546,0,0,0,0.20,0.00,0.00,0.00,0.00,0.00,0.20,1,0,0,0,0,0,1,1.00,D1,0
548,0,0,2,0.40,0.20,0.10,0.30,0.10,0.80,0.70,2,1,1,2,1,3,3,4.00,D6,1
563,0,0,1,0.20,0.00,0.00,0.10,0.00,0.00,0.30,1,0,0,1,0,0,1,1.50,D7,0
4203,1,4,3,0.60,0.40,0.80,0.90,0.20,0.50,0.70,2,2,3,3,1,2,3,4.50,D4,1
4204,0,0,3,0.60,0.40,0.50,0.70,0.20,0.30,0.80,2,2,2,3,1,1,3,4.00,D7,1
4206,1,4,3,0.20,0.10,0.80,0.70,0.10,0.50,0.90,1,0,3,3,0,2,3,4.50,D7,1
4208,0,0,2,0.40,0.20,0.10,0.50,0.10,0.80,0.70,2,1,1,2,1,3,3,4.00,D6,1
4217,0,0,3,0.60,0.30,0.40,0.70,0.10,0.50,0.80,2,1,2,3,0,2,3,4.00,D7,1
4219,1,4,4,0.90,0.70,0.40,0.60,0.20,0.80,0.90,3,3,2,2,1,3,3,4.50,D1,1
4220,1,4,2,0.60,0.40,0.50,0.30,0.00,0.20,0.80,2,1,2,1,0,1,3,4.00,D7,1
4229,0,0,3,0.60,0.40,0.20,0.50,0.10,0.70,0.80,2,2,1,2,1,3,3,4.00,D7,1
4230,0,0,4,0.80,0.70,0.20,0.60,0.30,0.70,0.90,3,3,1,2,1,3,3,4.50,D7,1
4666,0,0,1,0.20,0.10,0.30,0.40,0.00,0.00,0.50,1,0,1,2,0,0,2,2.50,D7,1
4667,1,5,2,0.40,0.20,0.30,0.60,0.10,0.00,0.70,2,1,1,2,0,0,3,3.50,D7,1
4669,1,5,2,0.20,0.10,0.30,0.60,0.10,0.00,0.70,1,0,1,2,0,0,3,3.50,D7,1
4671,1,5,2,0.40,0.20,0.30,0.60,0.10,0.00,0.70,2,1,1,2,1,0,3,3.50,D7,1
4674,0,0,3,0.60,0.40,0.30,0.70,0.10,0.00,0.50,2,2,1,3,1,0,2,3.50,D4,1
4677,0,0,1,0.10,0.00,0.20,0.60,0.00,0.00,0.80,0,0,1,2,0,0,3,4.00,D7,1
4680,0,1,2,0.20,0.10,0.30,0.60,0.10,0.00,0.70,1,0,1,2,0,0,3,3.50,D7,1
4684,1,5,2,0.20,0.10,0.30,0.60,0.10,0.00,0.70,1,0,1,2,0,0,3,3.50,D7,1
4687,1,5,2,0.40,0.20,0.30,0.60,0.10,0.00,0.70,2,1,2,3,1,0,3,3.50,D7,1
4695,1,5,2,0.40,0.20,0.50,0.60,0.10,0.00,0.70,2,1,2,2,1,0,3,3.50,D7,1
4696,1,5,2,0.40,0.30,0.20,0.50,0.10,0.00,0.60,2,1,1,2,0,0,2,3.00,D7,1
4699,1,5,2,0.20,0.10,0.30,0.70,0.10,0.00,0.60,1,0,1,3,0,0,2,3.50,D4,1
